Aktuell_vermietet,Badewanne,Balkon,Barrierefrei,Baujahr,Dachboden,Denkmalobjekt,Dusche,Einbaukueche,Einliegerwohnung,Preis__in__EUR,Gaeste_WC,Garage_Stellplatz,Garten__mitnutzung,Grundstuecksflaeche__m2,Haustiere_erlaubt,Haustyp,Heizkosten__in__EUR,Heizungsart,Keller,Moebliert_Teilmoebliert,Provision__in__EUR,Terrasse,Verfuegbar_ab_Jahr,Verfuegbar_ab_Monat,Verkaeufer,Wohnflaeche__m2,Zimmer,adid,kw,plz,posterid
,"true",,,"1964",,,"true",,,"120000",,"true","true","2433",,"einfamilienhaus",,"zentralheizung","true",,"nein",,,,"gewerblich","160","6","753447707","!!!_Zwangsversteigerung_!!!_grosszuegiges...","58708","42618101"
,"true",,,"1933",,,,,,"425000",,"true","true","499",,"einfamilienhaus",,"zentralheizung","true",,"nein",,,,"gewerblich","100","5","748572168","freistehendes_Einfamilienhaus","40591","51318047"
,"true","true",,"1981",,,"true","true",,"349000","true","true",,"905",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6","690366925","Grosszuegiges_Einfamilienhaus_in_ruhiger_Lage_Bruckberg","91590","20255518"
,"true","true",,"1961","true",,"true","true",,"275000","true","true","true","250",,"reihenhaus",,"gasheizung","true",,"ja","true","2018","2","privat","100","4","755622147","Reihenhaus_in_Tuerkheim","86842","11142016"
,"true","true",,"1898",,,"true",,,"134900","true","true","true","947",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","120","7","757988332","Erwecken_Sie_dieses_Schmuckkaestchen_aus_dem...","35688","41442645"
,"true",,,"1530",,,"true",,"true","199000","true","true",,"120",,"einfamilienhaus",,,"true",,"nein",,,,"gewerblich","160","8","601041725","Anspruchsvolles_Anwesen_mit_viel_Charakter","04680","50828789"
,,,"true","2017",,,,,,"245512","true",,,"630",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","6","626347420","Schoen_und_guenstig_in_der_Landeshauptstadt_wohnen!","01328","42399135"
,"true",,,,,,"true",,,"205000","true",,,"1115",,"bungalow",,"gasheizung",,,"nein",,"2018","7","gewerblich","140","5","756753977","Viel_Bungalow_fuer_wenig_Geld___raus_aus_der_Miete","01187","1283613"
,"true",,"true",,,,"true",,,"176760","true",,,"448",,"einfamilienhaus",,"fussbodenheizung",,,"nein",,,,"gewerblich","140","4","758973243","Einfamilienhaus_in_Waldenburg_in_schoener_Lage","08396","42399135"
,,,"true",,,,,,,"249079","true",,,"700",,"einfamilienhaus",,"fussbodenheizung",,,"nein",,,,"gewerblich","160","4","741578669","Traumhaft_wohnen_in_Stolpen_""_Am_Schlossberg_""","01833","42399135"
,"true",,,"2017","true",,"true",,,"359000","true","true","true","350",,"einfamilienhaus",,"andere",,,"ja","true",,,"gewerblich","160","5","748091814","Familien_aufgepasst!!_Exclusive_Stadtvilla_in_Bergkamen!_Top!!!","59192","44041687"
,,,,"1935",,,,,,"219000","true","true",,"681",,"einfamilienhaus",,"zentralheizung","true",,"nein",,,,"gewerblich","80","3","703589107","Platz_fuer_die_kleine_Familie_auf_grossem...","42855","37709743"
,,,,,,,,,,"657000","true",,,"597",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","6","758078864","KfW_Effizienzhaus_55_jetzt_bauen_und_Ihr_Eigenheim...","33102","42593523"
,,,,"2017",,,,,,"240999","true",,,"790",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","8","651992914","***_Einziehen_und_Wohlfuehlen!_Blick_ins_Gruene...","33154","43497027"
,"true",,,"1944","true",,,,,"92000","true","true","true","521",,"einfamilienhaus",,"zentralheizung",,,"nein",,"2017","11","privat","100","4","742429996","Kleines_Einfamilienhaus_in_Engelskirchen__Loope","51766","16469718"
,"true",,,"1802",,,"true",,,"83000",,"true",,"640",,"einfamilienhaus",,"andere","true",,"nein",,,,"gewerblich","160","8","742240299","!Provisionsfrei!_Traditionelles_Fachwerkhaus_mit...","59581","46441075"
,"true",,,"1961",,,"true",,,"330000",,"true","true","558",,"einfamilienhaus",,"zentralheizung","true",,"nein",,,,"gewerblich","160","7","729322527","VON_PRIVAT:_Freistehendes__grosszuegiges_Einfamilienhaus...","41065","50590973"
,,"true",,"1987",,,,"true",,"299000","true","true",,"1271",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","160","6","708930120","Einfamilienhaus_mit_grosszuegigem_Grundstueck_in_ruhiger...","93476","23217675"
,"true","true",,"2001","true",,"true","true",,"330000","true","true","true","140",,"reihenhaus",,"gasheizung","true",,"nein","true",,,"privat","140","4","713954849","Top_gepflegtes_RMH_4_Zimmer_ca._140qm_in_Illertissen","89287","37875437"
,"true",,,"1906","true",,"true",,,"170000","true","true","true","916",,"einfamilienhaus",,"gasheizung","true",,"nein","true","2017","11","privat","160","5","738174465","schoenes_grosses_Einfamilienhaus_mit_Garten_in_ruhiger_Lage","02730","3106855"
,"true",,"true","1980","true",,"true","true",,"153000","true","true",,,,"einfamilienhaus",,"gasheizung","true",,"nein","true","2017","10","privat","120","5","723827191","Edles_kleines_Einfamilienhaus_in_einem_schoenen_alten_Garten","04680","50281480"
,"true",,,"2012","true",,"true","true",,"390000","true","true","true","481",,"einfamilienhaus",,"andere","true","true","ja","true","2018","3","gewerblich","160","5","735446303","Einfamilienhaus_*Neubau_2012*_Traumgrundstueck_+_Garage:_Hennef","53773","4063788"
,"true","true",,"2017",,,"true",,,"349000",,"true",,,,"einfamilienhaus",,"zentralheizung",,,"nein","true",,,"gewerblich","160","5","690528967","Bauen_Sie_doch_mal_Ihre_persoenliche_Traumimmobilie_...","50667","41083606"
,"true",,,"1979",,,"true","true","true","320000","true","true",,"458",,"einfamilienhaus",,"fussbodenheizung","true",,"nein",,,,"privat","140","5","730922702","Einfamilienhause_freistehend","33178","7839578"
,,,,"2017",,,,,,"367999","true",,,"870",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","6","655594445","***_Traumhaftes_Grundstueck_mit_genialem_Cult_Haus_in...","33098","43497027"
,,,,"2017",,,,,,"222999","true",,,"712",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","8","720556874","***_Ihre_neue_Traumvilla_in_Salzkotten_***","33154","49458537"
,"true",,,,"true",,"true","true","true","305000",,"true","true","565",,"einfamilienhaus",,,"true",,"nein","true","2018","7","privat","160","9","746194543","Haus_in_53894_Mechernich","53894","13941971"
,,,,"2017",,,,,,"255999","true",,,"788",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","6","659093195","***_Bauen_Sie_doch_mit_dem_Deutschen_Traumhaus_Preis...","33154","43497027"
,,,,"1773",,,,"true",,"295900",,"true","true","391",,"einfamilienhaus",,"zentralheizung",,,"nein",,,,"gewerblich","160","6","674481132","VERGANGENHEIT_bewahren_|_GEGENWART_geniessen_|_ZUKUNFT...","33647","8795621"
,,,,"1959",,,,,,"95000",,"true",,"677.00",,"einfamilienhaus",,"zentralheizung","true",,"nein",,,,"gewerblich","160","5.0","760926758","Freistehendes_EFH_mit_Garage__Wintergarten_u._Balkon...","32816","46441075"
,,"true",,"1979",,,,"true",,"325000","true","true","true","1373",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6","686772447","Reserviert!___Gepflegtes_Einfamilienhaus_in_ruhiger...","89350","42924912"
,"true","true",,"1975","true",,"true",,,"315000","true","true","true","235",,"reihenhaus",,"zentralheizung","true",,"nein","true","2018","3","privat","140","6","751469019","Reihenmittelhaus","90574","30023713"
,,,"true","2000",,,,"true",,"79650","true","true","true","820",,"einfamilienhaus",,"zentralheizung",,,"nein",,,,"gewerblich","40","1","719430066","Der_Traum_zu_wachsen!_Sie_koennen_sofort_einziehen_und...","36329","48517214"
,"true",,,"2005","true",,"true","true",,"715900","true","true",,"166",,"reihenhaus",,"gasheizung","true",,"nein","true","2018","6","privat","160","6","715902090","22_Nummer_wie_Neu_RMH_Geretsried_Gartenberg_Suedlich_von_Muenchen","82538","20325624"
,"true",,"true","2015",,,"true",,,"177900","true",,"true","1001",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","120","4","608860743","Ihr_""KfW_Effizienzhaus_70""_auf_einem_laendlichen_&...","02788","44624262"
,"true",,,"2017",,,"true","true",,"169999","true",,,"10",,"einfamilienhaus",,"andere","true",,"nein",,"2017","1","privat","120","4","727613148","Einfamilienhaus_+_Keller_zum_Sonderpreis___als_Musterhauspartner!","04103","23281176"
,"true","true",,"1985","true",,"true","true",,"149000","true","true",,"3900",,"einfamilienhaus",,"oelheizung","true",,"nein","true","2017","10","privat","140","6","732840613","Ruhig_gelegenes_Einfamilienhaus_in_Glossen","04769","4383634"
,"true","true",,"1995","true",,"true","true",,"283000","true","true","true","997",,"einfamilienhaus",,"fussbodenheizung","true",,"nein","true","2018","3","privat","140","5","753211526","Ein_zauberhaftes_Familienidyll_am_Rande_von_Leipzig","04683","27931518"
,"true","true",,"2017",,,"true",,,"349000",,"true",,,,"einfamilienhaus",,"zentralheizung",,,"nein","true",,,"gewerblich","160","5","690528464","Bauen_Sie_doch_mal_Ihre_persoenliche_Traumimmobilie_...","51709","49071363"
,"true",,,"1920",,,"true","true","true","170000",,"true",,,,"einfamilienhaus",,"andere","true",,"nein",,"2018",,"privat","140","6","731684850","Freistehendes_Einfamilienhaus_mit_Einliegerwohnung","46284","39962619"
,,,,"2017",,,,,,"467999","true",,,"788",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","6","720550777","***_Traumhaftes_Grundstueck_mit_genialem_Cult_Haus_in...","33098","49458537"
,,,,"2017",,,,,,"276999","true",,,"790",,"villa",,,,,"nein",,,,"gewerblich","160","6","652000751","***_Traumvilla_plus_Traumgrundstueck_ergibt_den_puren...","33154","43497027"
,,,,"2017",,,,,,"234999","true",,,"790",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","8","651991538","***_Ihre_neue_Traumvilla_in_Salzkotten_***","33154","43497027"
,,,,"2017",,,,,,"489334","true",,,"612",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","7","725894788","***_Bauen_Sie_jetzt_mit_uns_Ihr_Traumhaus_in...","40489","42594491"
,,,,"1957",,,,,,"259000",,"true",,"858",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","8","696782640","ACHTUNG_PREIS!_Grosse_Familie_/_Kapitalanlage__EFH/2_FH...","33790","27652809"
,"true","true",,"1996",,,"true",,,"299000","true","true","true","760",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","140","6","692136675","Tolles_Einfamilienhaus_mit_grossem_Hobbykeller_in...","90619","42291831"
,"true","true",,"1998",,,"true","true",,"149000","true","true","true","300",,"reihenhaus",,"zentralheizung",,"true","nein","true","2017","10","gewerblich","160","6","726664635","Sehr_geraeumiges_Reihenmittelhaus__Odosado__in_Daimus_Valencia","97828","50244214"
,,,"true","2015",,,"true","true",,"449000","true","true","true","605",,"einfamilienhaus",,"fussbodenheizung",,,"nein","true",,,"privat","160","5","757580040","Wunderschoenes_Einfamilienhaus_in_Niederkaufugen_in_einer_Sackgass","34260","33247820"
,"true","true",,,"true",,"true",,,"1350","true","true","true",,"true","reihenhaus",,"gasheizung","true",,,"true","2017","12","privat","120","5","749609453","RMH_Rgbg_West_mit_Garten","93049","2493647"
,,,"true","2017",,,,,,"247529","true",,,"550",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","6","667040644","Hier_koennen_Sie_Ihr_Leben_geniessen!_Info:_0351_8795685","01454","42399135"
,"true",,,,,,"true","true",,"255859","true",,,"860",,"einfamilienhaus",,"etagenheizung",,,"nein",,,,"gewerblich","160","4","586064488","Schoenes_neues_Baugebiet__genau_richtig_!","09117","42399135"
,"true",,,"1995","true",,"true",,,"299990","true","true","true","330",,"einfamilienhaus",,"gasheizung","true",,"nein","true","2017","10","privat","160","4","746986906","grosszuegiges_Reihenendhaus_im_Leipziger_Norden_Naehe_BMW_Werk","04356","16722374"
,"true",,,"1900","true",,"true",,,"95000","true","true","true","1000",,"einfamilienhaus",,"oelheizung","true",,"nein","true","2017","10","privat","160","5","729065313","Haus_in_Olbernhau","09514","50186222"
,"true","true",,"1995","true",,"true","true",,"1000000","true","true","true","5000",,"einfamilienhaus",,"fussbodenheizung","true",,"nein","true","2017","12","privat","160","4","746526033","Haus_Wohn__und_Gewerbe_in_Boxdorf_zu_verkaufen","01109","43247051"
,"true","true",,"2017",,,"true",,,"419000",,"true",,"398",,"einfamilienhaus",,"zentralheizung",,,"nein","true",,,"gewerblich","160","5","713489892","Planen_und_bauen_Sie_gehoben__ganz_individuell..._nach...","53902","41083606"
,"true","true",,"1994","true",,"true","true","true","225000","true","true",,"700",,"einfamilienhaus",,"gasheizung","true",,"ja","true","2017","12","gewerblich","160","8","713825420","Schoenes_Haus_/_bevorzugte_Lage_in_Sundern","59846","11089101"
,"true",,,"1981",,,"true",,"true","350000","true","true",,"650",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","5","757615237","Freistehendes_Einfamilienhaus_mit_Einliegerwohnung","45711","33038548"
,,,,"2015",,,,,,"312999","true",,,"899",,"villa",,,,,"nein",,,,"gewerblich","160","6","701064247","***_Schicke_Stadt_Villa_im_harmonischen_Lichtenau_***","33165","49458537"
,,,,"2017",,,,,,"287000","true",,,"633",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","140","4","757759580","Elegantes_Design!!_Grundstueck_sofort_bebaubar!","59192","42711298"
,,,,"2017",,,,,,"225999","true",,,"680",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","7","688526689","***Jetzt_aber_schnell___Einmalige_Chance_auf_citynahes...","33154","43497027"
,,,,,"true",,,,,"19000",,"true","true","300",,"einfamilienhaus",,,,,"nein",,"2017","10","privat","160","5","742442750","Haus_zur_Renovierung_oder_abriss","37671","25966440"
,,,,,,,,"true",,"84900",,"true","true","800",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","140","6","688688558","Grosszuegiges_Haus_mit_viel_Platz_fuer_die_Familie_und...","32676","32400423"
,"true","true",,"1997",,,"true","true",,"398000","true","true",,"701",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","8","742833054","Traumhaus_in_schoener_Siedlungslage_Burgoberbach","91595","20255518"
,"true",,,"1980",,,"true","true",,"359000","true","true","true","200",,"reihenhaus",,"gasheizung","true",,"nein","true","2018","1","privat","120","5","755328270","schoenes_Reihenmittelhaus","85055","14828631"
,"true","true",,"1979","true",,"true",,,"1500","true","true","true",,"true","villa",,"gasheizung","true",,,"true","2017","11","privat","160","5","724703967","Schoene_Villa_in_ruhiger_Wohngegend","87700","48225808"
,"true",,"true","2016","true",,"true","true",,"410000","true","true","true","550",,"einfamilienhaus",,"fussbodenheizung",,"true","nein","true","2018","1","privat","120","4","751708545","Bungalow__gehobene_Ausstattung_beste_Lage__Radeberg__Haus","01454","24758572"
,"true",,,"2017","true",,"true",,,"197900","true","true",,"360",,"doppelhaushaelfte",,"fussbodenheizung",,,"nein",,"2018",,"gewerblich","120","4","423509546","Baugebiet_fuer_EFH_und_DH_in_Dohna_/_Dresden","01809","36923392"
,"true",,,"1958","true",,"true","true",,"219000",,"true","true","600",,"reihenhaus",,"gasheizung","true",,"nein","true","2018",,"privat","160","4","730239123","Vollsaniertes_gemuetliches_Reihenendhaus","01738","14591804"
,"true",,,"1910","true",,"true",,"true","70000","true","true","true","1886",,"mehrfamilienhaus",,"oelheizung","true",,"nein","true","2017","11","privat","160","9","731057805","Zweifamilienhaus_am_Waldrand_900_m_hoch_gelegen","08309","36396491"
"true","true",,,,"true",,,,,"59000",,"true",,"200",,"doppelhaushaelfte",,"oelheizung",,,"nein","true","2018","3","gewerblich","120","4","717662858","gemuetliches_Fachwerkhaus","59846","11089101"
,"true","true",,"1976",,,,,"true","439900","true","true",,"807",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","5","660533862","Einfamilienhaus_mit_Einliegerwohnung.","51503","45780167"
,,,,"2015",,,,,,"257999","true",,,"790",,"villa",,,,,"nein",,,,"gewerblich","160","6","688555022","***Anspruchsvolle_und_Architektonische_Gestaltung_ganz...","33178","43497027"
,,,,"2017",,,,,,"212999","true",,,"679",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","140","4","680460311","***Sie_wollen_bauen?_Warum_nicht_mit_uns?_30_Jahre...","33142","43497027"
,,,,"2017",,,,,,"225999","true",,,"680",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","7","729895695","***Jetzt_aber_schnell___Einmalige_Chance_auf_citynahes...","33154","49458537"
,,,,"1910",,,,,,"129000",,"true","true","486",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","8","531874641","Ihre_besondere_Immobilie___Schaffen_Sie_sich_Ihren...","33181","32400423"
,,,,,,,,,,"234242","true",,"true",,,"einfamilienhaus",,"fussbodenheizung",,,"nein","true",,,"gewerblich","140","4","614239886","Wir_planen_und_bauen_mit_Ihnen_auf_Ihrem_Grundstueck!","48683","32443811"
,"true","true",,"1976","true",,"true","true","true","399000","true","true",,"706",,"einfamilienhaus",,"zentralheizung",,,"ja","true","2017","9","gewerblich","160","10","703755980","Zweifamilienhaus_Naehe_Laaber__idyllische_Wohngegend","93164","43859481"
,"true",,,"2008","true",,"true","true",,"927000","true","true","true","170.00",,"reihenhaus",,"fernwaerme","true",,"nein","true","2018","9","privat","160","5.0","743192303","REIHENHAUS_MODERN_und_NEUWERTIG_S3_2_min_gehobene_Austattung","82008","38872945"
,,"true",,"1963",,,"true","true",,"550000","true","true","true","779",,"einfamilienhaus",,"ofenheizung","true",,"ja","true",,,"gewerblich","140","5","753388184","Sehr_helles_gepflegtes_Einfamilienhaus_mit_grossem...","85098","42617154"
,"true",,,"1930",,,"true",,,"1250","true",,"true",,"true","doppelhaushaelfte","1","gasheizung","true",,,,"2018","3","privat","160","6","737229644","Haus_170_qm","84513","41076873"
,"true",,"true","1999","true",,"true","true",,"1000","true","true",,,"true","einfamilienhaus","70","fussbodenheizung",,"true",,"true","2018","1","privat","120","5","758049298","Einfamilienhaus","04523","38016910"
,"true",,,"1997","true",,"true","true",,"149000","true","true","true","75",,"reihenhaus",,"fernwaerme","true","true","ja","true",,,"gewerblich","120","5","738938930","Schmuckstueck!_Reihenendhaus_mit_Garage_&_EBK_ab_mtl._399EUR_Rate","09212","48443607"
"true","true",,,"1970","true",,"true",,"true","135000","true","true","true","1300",,"doppelhaushaelfte",,"oelheizung","true",,"nein","true","2017","10","privat","160","11","738242457","Ein_Doppelhaus___zwei_Moeglichkeiten_!","09306","50145790"
,"true",,,"1994",,,"true",,,"1184","true","true","true",,"true","doppelhaushaelfte",,"gasheizung","true",,,"true","2017","11","privat","160","6","741304915","DHH_in_Borsdorf_OT_Zweenfurth_*Erstbezug*","04451","50289269"
,"true",,,"1985","true",,"true",,,"950","true","true","true",,,"einfamilienhaus",,"gasheizung","true",,,"true","2018","3","privat","120","5","758595770","Suesses_Einfamilienhaus_in_Weisswasser_zur_Miete","02943","17189686"
,"true","true",,,"true",,"true",,,"33000",,"true","true",,,"doppelhaushaelfte",,"gasheizung",,"true","nein",,,,"privat","140","8","740918733","Fachwerkhaus_inkl._Grundstueck_mit_Doppelgarage_in_Dalhausen","37688","51027146"
,"true",,,"1992",,,"true",,,"325000","true","true",,"544",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","6","735236841","Wenn_die_Lage_zaehlt...","49545","39733991"
,,,,"2015",,,,,,"296999","true",,,"790",,"villa",,,,,"nein",,,,"gewerblich","160","6","720553498","***Anspruchsvolle_und_Architektonische_Gestaltung_ganz...","33178","49458537"
,,,,"2017",,,,,,"257999","true",,,"677",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","160","5","712507181","***Sie_wollen_bauen?_Warum_nicht_mit_uns?_30_Jahre...","41516","42594491"
,,,,"2017",,,,,,"194999","true",,,"566",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","140","4","712991923","***_Sie_wollen_bauen?_Warum_nicht_mit_uns?_30_Jahre...","33142","49458537"
,,,,"1926",,,,,,"89000",,"true","true","934",,"einfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","160","8","705692583","Machen_Sie_es_zu_Ihrem_Projekt!_Grosszuegiges_...","32602","39336475"
,,,,"2017",,,,,,"318220",,,,"611",,"einfamilienhaus",,,,,"nein","true",,,"gewerblich","160","5","667638266","Herzlich_Willkommen_in_Ihrem_neuen_Heim!","32312","38271343"
,"true","true",,"1990",,,"true","true","true","325000","true","true","true","1000",,"einfamilienhaus",,"zentralheizung","true","true","ja","true","2017","11","privat","160","6","745832913","Haus_im_mediteran_laendlichem_Stil___Idyllische_Lage_Naehe_See","94163","1391614"
,"true",,,"2017",,,"true",,,"585000","true","true","true","436",,"reihenhaus",,"zentralheizung","true",,"nein","true",,,"gewerblich","160","4","751195323","Moderne_und_pfiffige_Reihenhaeuser!!!","87509","37765950"
,,"true",,"1982",,,,"true",,"280000","true","true","true","812",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","5","687006338","Einfamilienhaus_mit_Garten_und_Schwimmteich_in...","94344","48926114"
,"true",,,"2017",,,"true",,,"1275","true","true","true",,"true","doppelhaushaelfte","75","fussbodenheizung",,,,"true","2017","12","privat","160","6","701129517","Doppelhaushaelfte_in_Rabenstein_/_Erstbezug","09117","6145722"
,,"true",,"1930","true",,"true",,,"160000","true","true","true","900",,"doppelhaushaelfte",,"oelheizung","true",,"nein","true","2017","12","privat","120","5","754200802","Haus_in_Unterwuerchnitz_OHNE_Provision_von_Privat","08626","36108822"
"true","true",,,"1926","true",,,"true","true","225000",,"true","true","1500",,"einfamilienhaus",,"oelheizung","true",,"nein","true",,,"privat","160","11","728519440","Fuer_Kapitalanleger___voll_vermietetes_EFH_mit_Einliegerwohnung","01445","13583537"
,"true",,,"1993","true",,"true",,,"1050","true","true","true",,,"doppelhaushaelfte",,"gasheizung","true",,,"true","2018","3","privat","140","6","757558526","Grosse_Doppelhaushaelfte_in_Weisswasser_zur_Miete","02943","17189686"
,"true",,,"2003","true",,"true",,,"1100","true","true","true",,,"einfamilienhaus","150","gasheizung",,,,"true","2017","12","privat","100","4","757594007","EFH_mit_Garten_offene_Kueche_Kaminanschluss_TLB_mit_Du_und_Wanne","04463","39617269"
,"true",,,"1875",,,"true",,"true","560000","true","true","true","938",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","7","713513953","Wenn_Wohnen_und_Urlaubsflair_sich_treffen!","45134","39164077"
,,,,"2017",,,,,,"184999","true",,,"570",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","140","4","688554299","***_Sie_wollen_bauen?_Warum_nicht_mit_uns?_30_Jahre...","33142","43497027"
,,,,"2017",,,,,,"222999","true",,,"557",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","120","4","670283165","***Sie_wollen_bauen?_Warum_nicht_mit_uns?_30_Jahre...","41066","42594491"
,"true",,,"1962",,,,,,"95000",,"true","true","950",,"einfamilienhaus",,"zentralheizung",,,"ja",,,,"gewerblich","140","4","613243325","Einfamilienhaus_mit_Ausbaureserve","32469","39327919"
,,,,"2017",,,,,,"277655","true",,,"633",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","120","4","725889166","***_Ihr_neues_schickes_Einfamilienhaus_in_Toenisvorst_...","47918","42594491"
,"true",,,"1972",,,"true","true",,"1500","true","true","true",,,"einfamilienhaus","150","oelheizung","true","true",,"true","2018","2","privat","140","4","756049828","Freistehendes_GALLERIEhaus_**_Sauna_**_Garten_**_Doppelgarage","90530","12213797"
,"true",,,"1952",,,"true","true",,"220000","true","true","true","847.00",,"einfamilienhaus",,"zentralheizung","true",,"ja","true",,,"gewerblich","160","5.0","639327104","Herausforderung_fuer_den_Handwerker_–_hier_koennen_Sie...","86653","37968553"
,"true",,,,,,,,,"890","true","true","true",,,"doppelhaushaelfte",,"gasheizung","true",,,,"2017","12","privat","80","3","663609334","Einfamilien_Doppelhaushaelfte_in_Leipzig_Grosszschocher","04539","27649028"
,"true",,,"1900",,,"true","true",,"130000",,"true","true","800",,"reihenhaus",,,"true","true","ja",,,,"gewerblich","160","7","712880678","ObjNr:15669___Einfamilienhaus_sucht_Familie","09306","32579074"
,,,,,"true",,"true",,"true","25000",,"true","true","2000",,"einfamilienhaus",,"oelheizung","true",,"nein","true","2017","11","gewerblich","160","10","748641204","Haus_o._Ferienhaus_am_Baerwalder_See_mit_Wohnnebengebaeude_2000m²","02943","30565256"
,"true","true",,"1997","true",,"true","true",,"700","true","true","true",,,"doppelhaushaelfte",,"oelheizung","true",,,,"2018","4","privat","140","5","753359516","Doppelhaushaelfte_ab_April_2018_zu_vermieten","09509","51502205"
,"true","true",,"2000",,,,,,"135135","true","true","true","806",,"einfamilienhaus",,"zentralheizung",,,"ja","true",,,"gewerblich","120","4","725491307","Bei_diesem_Haus_lacht_nicht_nur_die_Sonne___EFH_mit...","02906","44624262"
,"true",,,,"true",,,,,"400",,"true",,,"true","bauernhaus",,"gasheizung",,,,,"2017","12","gewerblich","160","4.0","760682620","Einfamilienhaus_Haus_mit_Grundstueck_Bauernhaus_Fachwerkhaus","01917","7079531"
,"true",,,,"true",,"true","true",,"85000","true",,"true","1000",,"einfamilienhaus",,"gasheizung","true",,,,,,"privat","120","5","745610096","Haus_in_schoener_Lage","04655","19391065"
"true","true","true",,"1930",,,"true","true",,"119000",,"true","true","3067",,"einfamilienhaus",,"zentralheizung","true",,"ja","true","2017","11","gewerblich","160","8","698005014","Platz_fuer_2_Familien_und_Vierbeiner","32469","27757273"
,,,,"2017",,,,,,"226400","true",,,"611",,"einfamilienhaus",,,,,"nein",,,,"gewerblich","140","5","752998704","Einfamilienhaus_zum_Aktionspreis_in_Heimbach","52396","50444057"
,"true",,,"1997","true",,"true","true",,"220000","true","true","true","611",,"einfamilienhaus",,"oelheizung","true",,"nein","true",,,"privat","120","6","724176416","Einfamilienhaus_in_Kirchenlamitz","95158","41005300"
,"true","true",,"1961","true",,"true",,,"450000","true","true","true","1056",,"einfamilienhaus",,"zentralheizung","true","true","nein","true","2017","10","privat","160","7","641715757","Viel_Platz_fuer_Familie_mit_Kindern","90449","20785360"
,"true",,,"1930",,,,"true",,"1250","true","true","true",,,"doppelhaushaelfte","140","zentralheizung","true",,,,"2018","1","privat","140","7","531391853","wohnen_in__ruhiger_Best_Lage_von_Dresden__Oberbuehlau_","01324","21768737"
,"true",,,"1972",,,"true",,,"345000","true","true","true","3311",,"einfamilienhaus",,"gasheizung","true",,"nein","true","2017","10","privat","160","5","720049755","Freistehendes_Einfamilienhaus_mit_grossem_Garten_zum_Kauf","04571","23823753"
,"true",,,"1928","true",,,,,"43000",,,"true","750",,"einfamilienhaus",,"etagenheizung",,,,,,,"privat","100","5","738248080","Verkaufe_im_Auftrag_Einfamilienhaus","02943","13261221"
,"true",,,"1894","true",,,,,"28000",,,"true","320",,"einfamilienhaus",,"oelheizung","true",,"nein",,"2017","10","privat","80","5","744823926","Wohnhaus_in_Zethau_zu_verkaufen","09619","1768966"
,"true",,,,"true",,"true",,,"550",,"true","true",,,"bauernhaus",,"oelheizung",,,,,"2018","1","privat","100","5","752702842","Haus_zur_Miete","04435","7281444"
,"true",,,"2010",,,"true","true",,"449000","true","true","true","400",,"einfamilienhaus",,"fussbodenheizung",,,"ja","true",,,"gewerblich","140","4","709613559","Freistehendes_Einfamilienhaus_in_toller_Wohnlage_von...","58313","39132279"
